"lab","topicLabel","source"
"http://ROBOPROF.org/data#COMP6741_Lab02","montreal","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","montreal","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","ta","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture03/readings/TechnicalDebt03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","canada","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/SOEN6431/Lectures/Lecture04/slides/MiningSoftwareRepositories04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf schema","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/slides/MachineLearning06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdfs","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/slides/MachineLearning06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","dbp","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","netflix","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture05/slides/RecommederSystems05.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","netflix","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","netflix","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/slides/MachineLearning06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/worksheets/worksheet03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","wikidata","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
