course,courseTitle
http://ROBOPROF.org/data#EDUC862,EDUC 862: Pragmatic Aspects of Bi/Multilingualism and Language Learning
http://ROBOPROF.org/data#ARTH640,"ARTH 640: PHOTOGRAPHY, HISTORY AND THEORY"
http://ROBOPROF.org/data#RELI371,"RELI 371: HEALTH, HEALING AND RELIGION"
http://ROBOPROF.org/data#CEENMOD6C,CEEN MOD6C: LANGUAGES AND CULTURE
http://ROBOPROF.org/data#PSYC221,PSYC 221: Foundations of Personality
http://ROBOPROF.org/data#PSYC841,PSYC 841: External Practicum III: General
http://ROBOPROF.org/data#ENGL600,ENGL 600: SPECIAL TOPICS/ENGLISH LIT
http://ROBOPROF.org/data#URBS254,URBS 254: ENVIRONMENTAL ISSUES II
http://ROBOPROF.org/data#MECH6241,MECH 6241: OPERATIONAL PERF./AIRCRAFT
http://ROBOPROF.org/data#GPDI529,GPDI 529: Build your own gadgets with Arduino
http://ROBOPROF.org/data#CLAS230,CLAS 230: (also listed as HIST 219) Ancient Near East
http://ROBOPROF.org/data#MAST872,MAST 872: STOCHASTIC PROCESSES
http://ROBOPROF.org/data#MATH602P,MATH 602P: RDNGS/MATHEMATICS EDUCATION /ALGEBRAIC THINKING
http://ROBOPROF.org/data#ELEC6821,ELEC 6821: Network Security and Management
http://ROBOPROF.org/data#ELEC351,ELEC 351: Electromagnetic Waves and Guiding Structures
http://ROBOPROF.org/data#INTE499,INTE 499: SPECIAL TOPICS
http://ROBOPROF.org/data#MATH729,MATH 729: SEL TOP/ACTUARIAL MATHEMAT'S
http://ROBOPROF.org/data#SPEC614,SPEC 614: SPEC MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#MSCA699B,MSCA 699B: RESEARCH THESIS
http://ROBOPROF.org/data#CATS609,CATS 609: INTRO. DANCE/MOV. THERAPY
http://ROBOPROF.org/data#PSYC372,PSYC 372: Personnel Psychology
http://ROBOPROF.org/data#GIIM655,GIIM 655: SOCIALLY RESPONSIBLE AND SUSTAINABLE INVESTMENT
http://ROBOPROF.org/data#THEO295,THEO 295: Theology and Women
http://ROBOPROF.org/data#MECH361,MECH 361: Fluid Mechanics II
http://ROBOPROF.org/data#MANA447,MANA 447: Leadership and Motivation
http://ROBOPROF.org/data#RELI416,RELI 416: STUDIES MUSLIM CIVILIZATIONS
http://ROBOPROF.org/data#ANTH479,ANTH 479: Feminism and Anthropology
http://ROBOPROF.org/data#BSTA450,BSTA 450: STATISTICAL MODELS FOR DATA ANALYSIS
http://ROBOPROF.org/data#MECH691,MECH 691: TOPICS IN MECHANICAL ENG. I
http://ROBOPROF.org/data#ENVS608,ENVS 608: Getting Ready for the Environmental Assessment Internship
http://ROBOPROF.org/data#ACTU492,ACTU 492: RDG CRS/ACTUARIAL MATHEMAT S
http://ROBOPROF.org/data#CHME6101,CHME 6101: ADVANCED BATTERY MATERIALS AND TECHNOLOGIES
http://ROBOPROF.org/data#SPEC629,SPEC 629: SPEC. MASTER'S LEVEL STUDIES
http://ROBOPROF.org/data#SPEC690,SPEC 690: MASTER'S THESIS
http://ROBOPROF.org/data#CLAS364,CLAS 364: Classical Greek Art and Archaeology
http://ROBOPROF.org/data#ECON659,ECON 659: ECONOMICS FOR ENVRNMNTLSTS
http://ROBOPROF.org/data#ENGR6371,ENGR 6371: MICROMECHATRONIC SYST./APPL.
http://ROBOPROF.org/data#GPLL267,GPLL 267: Archiving websites with Conifer
http://ROBOPROF.org/data#CIVI432,CIVI 432: Soil Mechanics
http://ROBOPROF.org/data#TPER331,TPER 331: Theatre Movement II
http://ROBOPROF.org/data#MAST652,MAST 652: Topics in Research in Mathematics Education
http://ROBOPROF.org/data#MTHY503,MTHY 503: MUSIC THERAPY WITH ADULTS
http://ROBOPROF.org/data#HUMA866,HUMA 866: DIRECTD STUDIES
http://ROBOPROF.org/data#GDBA530,GDBA 530: Business Data Analytics
http://ROBOPROF.org/data#PSYC426,PSYC 426: Psychometrics and Individual Differences
http://ROBOPROF.org/data#SOCI690,SOCI 690: THESIS PROPOSAL
