topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Abstract_syntax_tree,ast,http://dbpedia.org/resource/Abstract_syntax_tree
http://ROBOPROF.org/data#Straight-six_engine,i6,http://dbpedia.org/resource/Straight-six_engine
http://ROBOPROF.org/data#Semantics,semantics,http://dbpedia.org/resource/Semantics
http://ROBOPROF.org/data#Symbol_table,symbol table,http://dbpedia.org/resource/Symbol_table
http://ROBOPROF.org/data#Debugging,debugging,http://dbpedia.org/resource/Debugging
http://ROBOPROF.org/data#Soen,soen,http://dbpedia.org/resource/Soen
http://ROBOPROF.org/data#Greatest_common_divisor,gcd,http://dbpedia.org/resource/Greatest_common_divisor
http://ROBOPROF.org/data#Ian_Beale,ian,http://dbpedia.org/resource/Ian_Beale
http://ROBOPROF.org/data#Pizza,pizza,http://dbpedia.org/resource/Pizza
http://ROBOPROF.org/data#Professional_Disc_Golf_Association,pdga,http://dbpedia.org/resource/Professional_Disc_Golf_Association
http://ROBOPROF.org/data#Type_system,type checking,http://dbpedia.org/resource/Type_system
http://ROBOPROF.org/data#Regression_testing,regression testing,http://dbpedia.org/resource/Regression_testing
http://ROBOPROF.org/data#Regression_testing,regression,http://dbpedia.org/resource/Regression_testing
http://ROBOPROF.org/data#Database,database,http://dbpedia.org/resource/Database
http://ROBOPROF.org/data#Cognition,cognition,http://dbpedia.org/resource/Cognition
http://ROBOPROF.org/data#Cognition,cognitive,http://dbpedia.org/resource/Cognition
http://ROBOPROF.org/data#Weiser_River,weiser,http://dbpedia.org/resource/Weiser_River
http://ROBOPROF.org/data#Formal_grammar,syntax,http://dbpedia.org/resource/Formal_grammar
http://ROBOPROF.org/data#Formal_grammar,grammar,http://dbpedia.org/resource/Formal_grammar
http://ROBOPROF.org/data#Parse_tree,parse tree,http://dbpedia.org/resource/Parse_tree
http://ROBOPROF.org/data#Artificial_intelligence,ai,http://dbpedia.org/resource/Artificial_intelligence
http://ROBOPROF.org/data#Graph_theory,graph,http://dbpedia.org/resource/Graph_theory
http://ROBOPROF.org/data#Perl,perl,http://dbpedia.org/resource/Perl
http://ROBOPROF.org/data#SQL,predicate,http://dbpedia.org/resource/SQL
http://ROBOPROF.org/data#General_Idea,general idea,http://dbpedia.org/resource/General_Idea
http://ROBOPROF.org/data#RNK_Split,split,http://dbpedia.org/resource/RNK_Split
http://ROBOPROF.org/data#Grep,grep,http://dbpedia.org/resource/Grep
http://ROBOPROF.org/data#Integrator,integrator,http://dbpedia.org/resource/Integrator
http://ROBOPROF.org/data#Pain,pain,http://dbpedia.org/resource/Pain
http://ROBOPROF.org/data#Maintainability,maintainability,http://dbpedia.org/resource/Maintainability
http://ROBOPROF.org/data#Apache_Maven,maven,http://dbpedia.org/resource/Apache_Maven
